Grant Recipient Name,Type Of Brownfields Grant,Type Of Funding,ACRES Property ID,Property Name,Property Address,Property City,Property State,Property ZIP Code,Property Size (Acres),Ownership Entity,Current Owner,Property Description,Source of Assessment Funding,Name of Entity Providing Assessment Funds,Amount of Assessment Funding,Assessment Phase,Assessment Completion Date,Cleanup Required,Contaminant Found-Petroleum,Contaminant Found-Controlled Substances,Contaminant Found-Asbestos,Contaminant Found-PCBs,Contaminant Found-VOCs,Contaminant Found-Lead,Contaminant Found-Other Metals,Contaminant Found-PAHs,Contaminant Found-Other,Contaminant Found-Other (Description),Media Affected-Soil,Media Affected-Air,Media Affected-Surface Water,Media Affected-Ground Water,Media Affected-Drinking Water,Media Affected-Sediments,Media Affected-No Media,Media Affected-Unknown,Cleanup Start Date,Cleanup Completion Date,Acres Cleaned Up,Source of Cleanup Funding,Name of Entity Providing Cleanup Funds,Amount of Cleanup Funding,Contaminant Clean Up-Petroleum,Contaminant Clean Up-Controlled Substances,Contaminant Clean Up-Asbestos,Contaminant Clean Up-PCBs,Contaminant Clean Up-VOCs,Contaminant Clean Up-Lead,Contaminant Clean Up-Other Metals,Contaminant Clean Up-PAHs,Contaminant Clean Up-Other,Contaminant Clean Up-Other (Description),Media Cleaned Up-Soil,Media Cleaned Up-Air,Media Cleaned Up-Surface Water,Media Cleaned Up-Ground Water,Media Cleaned Up-Drinking Water,Media Cleaned Up-Sediments,Source of Redevelopment Funding,Amount of Redevelopment Funding,Name of Entity Providing Redevelopment Funds,Redevelopment Start Date,Redevelopment Completion Date
"Greenville, South Carolina, City of",Assessment,,149863,107 Pete Hollis Blvd.,107 Pete Hollis Blvd.,Greenville,SC,29609,2.3,Private,Jack E. Shaw,,EPA,US EPA - Brownfields Assessment Cooperative Agreement,3000,Phase I Environmental Assessment,7/23/12,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Greenville, South Carolina, City of",Assessment,,149921,Markley Street Properties,"110, 116, 120, 122 Markley Street & 90 Grace Street","Greenville, SC",SC,29601,2.52,Private,"Smith Dray Line and Storage Co., TN Enterprise, LLC, Samuel A Turrentine.","The site is improved with four two-story, brick warehouse buildings with associated asphalt and concrete driveway/parking areas and grassy/gravel areas.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,3000,Phase I Environmental Assessment,7/18/12,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williamsburg County,Assessment,,149965,Springfield Holt Property,111 Hampton Avenue,Kingstree,SC,29556,0.38,Private,Springfield Realty Corporation,"The Springfield Holt property is currently occupied by a vacant former grocery store, that was recently refurbished for office space.  The western portions of both subject properties are an asphalt paved parking area that is currently in use.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,3000,Phase I Environmental Assessment,7/20/12,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Williamsburg County,Assessment,,149968,Former Belk Property,125 Hampton Avenue,Kingstree,SC,29556,0.19,Private,Williamsburg County Development Corporation,"The subject properties are currently vacant and the former Belk property has significant structural damage.  The upper floors of the structure have collapsed; however, the outer walls of the structure are currently standing.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,3000,Phase I Environmental Assessment,7/20/12,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North Charleston, City of",Assessment,,150002,Former City Hall Property,4900 Lacross Road,North Charleston,SC,29406,7.51,Government,The City of North Charleston,"The property was previously used as the City Hall for the City of North Charleston.  The site is developed with a fuel dispensing system that is currently in use by the City.  After moving to another property, the City has leased the building to other entities. In early 2012, a division of Amazon, CreateSpace expressed interest in leasing the property, but required a Phase I ESA be completed.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,1136,Phase I Environmental Assessment,7/13/12,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North Charleston, City of",Assessment,,150021,Hess Property,5150 Virginia Avenue,North Charleston,SC,29405,8.3,Private,Amerada Hess Corporation,"The Property has been owned by the Amerada Hess Corporation since 1969.  Prior to Hess, the site was owned by Hewitt Oil Terminal.  The southern portion of the property contains a bulk fuel storage terminal, which was not included as part of the ESA.  The ESA covered the northern portion of the property, which is currently developed with a gravel parking area and boat ramp.  This portion of the property is leased to the Charleston Fishing Club.  The Phase I ESA identified a former fertilizer pla",EPA,US EPA - Brownfields Assessment Cooperative Agreement,3928,Phase I Environmental Assessment,1/20/12,Unknown,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North Charleston, City of",Assessment,,150022,Amtrak Station & CSX Right-of-Way,4565 Gaynor Street,North Charleston,SC,29405,6.24,Government,Amtrak & CSX Railroad,"The property has been owned by the Atlantic Coast Railroad and subsequently the Seaboard Coast Line Railroad company since 1911.  The property was developed with a passenger train station in 1956, which is still used for that purposed.  The structure on the property is a two-stories, which total approximately 12,800 square feet.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,2112,Phase I Environmental Assessment,6/27/12,Unknown,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North Charleston, City of",Assessment,,150023,Park South Tract,Spruill Avenue,Charleston,SC,29405,9.32,Government,The City of North Charleston,"The property was used in the 1960s as a municipal landfill.  In the late 1960s, the property was covered with soil and has remained as a vacant, undeveloped lot.  The property has remained in private ownership until the City of North Charleston purchased the property in 1980.  Since its ownership by the City, the property has been maintained as a city park.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,2757,Phase I Environmental Assessment,3/28/12,No,,,,Yes,,,Yes,Yes,Yes,bis(2-ethylhexl)phthalate,Yes,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North Charleston, City of",Assessment,,150023,Park South Tract,Spruill Avenue,Charleston,SC,29405,9.32,Government,The City of North Charleston,"The property was used in the 1960s as a municipal landfill.  In the late 1960s, the property was covered with soil and has remained as a vacant, undeveloped lot.  The property has remained in private ownership until the City of North Charleston purchased the property in 1980.  Since its ownership by the City, the property has been maintained as a city park.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,59461,Phase II Environmental Assessment,,No,,,,Yes,,,Yes,Yes,Yes,bis(2-ethylhexl)phthalate,Yes,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North Charleston, City of",Assessment,,150102,SCE&G - Stall Road Property,State Road S-10-280,North Charleston,SC,29406,0.33,Private,South Carolina Electric and Gas,"The undeveloped lot has been owned by South Carolina Electric and Gas since 1962.  Prior to 1962, the property was owned by a private party.  Since at least the 1950s, the property has remained undeveloped.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,2362,Phase I Environmental Assessment,7/30/12,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Columbia,Assessment,,132401,City Market Arts & Antiques,"705, 707 & 711 Gervais Street",Columbia,SC,29201,1,Private,Highland Properties of Columbia LLC,"701 Gervais&#58 Mann Electric Supply Co. 1928 Carolina Burlap Bag Co 1938 Kelly Paper Co. paper distributers 1943 - 1963 Epting Distributers Inc air conditioning equipment 1968- 1973 Little Bit Antiques 1978 The Antique Attic 1983 The Antique Attic, Great Scot imported woolens 1988 City Market Antiques 1993 - 1998. An east-adjacent gas station operated from 1938 through 1978.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,18406,Phase I Environmental Assessment,11/25/14,No,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9500000,Private/Other Funding,10/21/14,
"Columbia, City of",Assessment,,132401,City Market Arts & Antiques,"705, 707 & 711 Gervais Street",Columbia,SC,29201,1,Private,Highland Properties of Columbia LLC,"701 Gervais&#58 Mann Electric Supply Co. 1928 Carolina Burlap Bag Co 1938 Kelly Paper Co. paper distributers 1943 - 1963 Epting Distributers Inc air conditioning equipment 1968- 1973 Little Bit Antiques 1978 The Antique Attic 1983 The Antique Attic, Great Scot imported woolens 1988 City Market Antiques 1993 - 1998. An east-adjacent gas station operated from 1938 through 1978.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,2595,Phase I Environmental Assessment,6/9/11,No,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Columbia, City of",Assessment,,132401,City Market Arts & Antiques,"705, 707 & 711 Gervais Street",Columbia,SC,29201,1,Private,Highland Properties of Columbia LLC,"701 Gervais&#58 Mann Electric Supply Co. 1928 Carolina Burlap Bag Co 1938 Kelly Paper Co. paper distributers 1943 - 1963 Epting Distributers Inc air conditioning equipment 1968- 1973 Little Bit Antiques 1978 The Antique Attic 1983 The Antique Attic, Great Scot imported woolens 1988 City Market Antiques 1993 - 1998. An east-adjacent gas station operated from 1938 through 1978.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,2000,Supplemental Assessment,6/7/11,No,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Greenville, South Carolina, City of",Assessment,,117764,Oscar Street Properties,102 and 301 Oscar Street,Greenville,SC,29601,2.02,,,"The subject property is currently vacant - and currently owned by Home of Hope, Inc.  The propery has historically been residential - but the location is adjacent to parcels with known groundwater contamination.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,2500,Phase I Environmental Assessment,6/30/10,Yes,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Greenville, South Carolina, City of",Assessment,,117764,Oscar Street Properties,102 and 301 Oscar Street,Greenville,SC,29601,2.02,,,"The subject property is currently vacant - and currently owned by Home of Hope, Inc.  The propery has historically been residential - but the location is adjacent to parcels with known groundwater contamination.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,28000,Phase II Environmental Assessment,1/28/11,Yes,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richland County,Assessment,,127741,Garners Ferry Road Properties,11315 and 11325 Garners Ferry Road,Eastover,SC,29044,2.35,Private,"Margaret's Properties, LLC","The subject property is currently occupied by a bar and grill and a potential former filling station currently being used as a fireworks stand. Also, the remains of a diesel repair shop are located on the subject property.",,,,,,Unknown,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Columbia, City of",Assessment,,124857,916-924 GERVAIS STREET PROPERTIES,"916, 920, 922, and 924 Gervais Street",Columbia,SC,29201,0.67,,,,EPA,US EPA - Brownfields Assessment Cooperative Agreement,2500,Phase I Environmental Assessment,1/4/11,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250000,Private/Other Funding,1/4/11,
"Columbia, City of",Assessment,,125624,Meeting Street Properties,Meeting and State Street,West Columbia,SC,29169,4,,The City of West Columbia,"The site is located at the southeast corner of Meeting Street and State Street in West Columbia Lexington COunty, South Carolina. The site is a 4-acre tract of land comprised of seven parcels within the city block formed by Meeting Street, State Street, Court Street, Oliver Street, and Alexander Road.The majority of the property is vacant unimproved land. The corner parcel located at State and Meeting Streets is improved with a 1700-square foot vacant building.",EPA,US EPA - Brownfields Assessment Cooperative Agreement,2500,Phase I Environmental Assessment,1/28/11,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richland County,Assessment,,128522,Babcock Center?s David E. Stewart Facility,5540 Ridgewood Camp Road,Columbia,SC,29203,35.5,Private,Richland County,The subject property is located in a predominantly wooded area. Several residential properties are located to the south of the subject property. The subject property is located along a ridge and is positioned topographically upgradient relative to the surrounding properties.,EPA,US EPA - Brownfields Assessment Cooperative Agreement,3000,Phase I Environmental Assessment,3/7/11,Unknown,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Greenwood,Assessment,,160881,Greenwood Mill # 5,700 Kitson Street,Greenwood,SC,29646,6.65,Government,"City of Greenwood, South Carolina","The subject property was used as a mill for about 100 years.  Currently, it is vacant and cleared of all buildings and debris except the mill administration building and the turnstile.  Assessment is complete.  An EPA Brownfields Cleanup Grant was awarded.  With that funding, the City's match, and a loan from the SC BCRLF, the site has been capped and a restrictive covenant has been placed on the property. The certificate of completion was issued on January 23, 2019. It is awaiting DHEC review o",EPA,US EPA - Brownfields Assessment Cooperative Agreement,90000,Phase II Environmental Assessment,2/8/11,Yes,,,Yes,,,,Yes,Yes,,,Yes,,,Yes,,,,,,,,,,,,,Yes,,,,Yes,Yes,,,Yes,,,,,,,,,,
City of Greenwood,Assessment,,160881,Greenwood Mill # 5,700 Kitson Street,Greenwood,SC,29646,6.65,Government,"City of Greenwood, South Carolina","The subject property was used as a mill for about 100 years.  Currently, it is vacant and cleared of all buildings and debris except the mill administration building and the turnstile.  Assessment is complete.  An EPA Brownfields Cleanup Grant was awarded.  With that funding, the City's match, and a loan from the SC BCRLF, the site has been capped and a restrictive covenant has been placed on the property. The certificate of completion was issued on January 23, 2019. It is awaiting DHEC review o","City of Greenwood, SC",Local Funding,3000,Phase I Environmental Assessment,1/4/11,Yes,,,Yes,,,,Yes,Yes,,,Yes,,,Yes,,,,,,,,,,,,,Yes,,,,Yes,Yes,,,Yes,,,,,,,,,,
City of Greenwood,Cleanup,,160881,Greenwood Mill # 5,700 Kitson Street,Greenwood,SC,29646,6.65,Government,"City of Greenwood, South Carolina","The subject property was used as a mill for about 100 years.  Currently, it is vacant and cleared of all buildings and debris except the mill administration building and the turnstile.  Assessment is complete.  An EPA Brownfields Cleanup Grant was awarded.  With that funding, the City's match, and a loan from the SC BCRLF, the site has been capped and a restrictive covenant has been placed on the property. The certificate of completion was issued on January 23, 2019. It is awaiting DHEC review o",EPA,Other Federal Funding,82000,Phase II Environmental Assessment,7/8/13,Yes,,,Yes,,,,Yes,Yes,,,Yes,,,Yes,,,,,6/21/18,10/4/18,6.65,SC BCRLF,Other Federal Funding,182696,,,Yes,,,,Yes,Yes,,,Yes,,,,,,,,,,
City of Greenwood,Cleanup,,160881,Greenwood Mill # 5,700 Kitson Street,Greenwood,SC,29646,6.65,Government,"City of Greenwood, South Carolina","The subject property was used as a mill for about 100 years.  Currently, it is vacant and cleared of all buildings and debris except the mill administration building and the turnstile.  Assessment is complete.  An EPA Brownfields Cleanup Grant was awarded.  With that funding, the City's match, and a loan from the SC BCRLF, the site has been capped and a restrictive covenant has been placed on the property. The certificate of completion was issued on January 23, 2019. It is awaiting DHEC review o",City of Greenwood,Local Funding,4000,Phase I Environmental Assessment,1/13/11,Yes,,,Yes,,,,Yes,Yes,,,Yes,,,Yes,,,,,6/21/18,10/4/18,6.65,EPA,US EPA - Brownfields Cleanup Cooperative Agreement,200000,,,Yes,,,,Yes,Yes,,,Yes,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location: South Carolina (State),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Point source: US EPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
